SMILES,source,value_nM,MW,label
NCCn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,3300.0,292.34600000000006,1
CC(O)CCn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,120.0,321.38400000000007,1
C[S+]([O-])CCn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,430.0,339.4240000000001,1
O=C(Cn1c(Cn2nnc3ccccc32)nc2ccccc21)c1ccccc1,ChEMBL,2200.0,367.4120000000001,1
CCCCn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,66.0,305.38500000000005,1
c1ccc2c(c1)nnn2Cc1nc2ccccc2n1CCN1CCCCC1,ChEMBL,1100.0,360.4650000000003,1
NC(=O)CCn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,2100.0,320.3560000000001,1
c1ccc2nn(Cc3nc4ccccc4n3CCN3CCCC3)nc2c1,ChEMBL,420.0,346.4380000000002,1
CN(C)CCn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,140.0,320.4000000000001,1
CSCCn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,300.0,323.42500000000007,1
c1ccc2nn(Cc3nc4ccccc4n3CCN3CCCCC3)nc2c1,ChEMBL,2600.0,360.46500000000026,1
CN1CCC[C@H]1Cn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,1000.0,346.4380000000001,1
CC(=O)CCn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,520.0,319.36800000000005,1
OC(Cn1c(Cn2nnc3ccccc32)nc2ccccc21)c1ccccc1,ChEMBL,590.0,369.4280000000001,1
CNCCn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,210.0,306.37300000000005,1
CC(C)=CCn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,3300.0,317.3960000000001,1
CN1CCC[C@@H]1Cn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,7360.0,346.4380000000001,1
CC(C)(C)OC(=O)CCn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,4310.0,377.4480000000001,1
CC(C)N(CCn1c(Cn2nnc3ccccc32)nc2ccccc21)C(C)C,ChEMBL,6700.0,376.50800000000015,1
CCN(CC)CCn1c(Cn2nc3ccccc3n2)nc2ccccc21,ChEMBL,220.0,348.45400000000006,1
CN(C)CCCn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,1100.0,334.4270000000001,1
CC(C)CCn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,100.0,319.41200000000003,1
N#CCCn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,2690.0,302.34100000000007,1
CN(C)CCCn1c(Cn2nc3ccccc3n2)nc2ccccc21,ChEMBL,3600.0,334.4270000000001,1
OCCn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,7700.0,293.33000000000004,1
CS(=O)(=O)CCn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,250.0,355.4230000000001,1
CC(C)CCCn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,190.0,333.4390000000001,1
c1ccc2nn(Cc3nc4ccccc4n3CCN3CCCCCC3)nc2c1,ChEMBL,1100.0,374.4920000000003,1
c1ccc(CCn2c(Cn3nnc4ccccc43)nc3ccccc32)cc1,ChEMBL,770.0,353.4290000000001,1
CC(C)N(CCn1c(Cn2nc3ccccc3n2)nc2ccccc21)C(C)C,ChEMBL,260.0,376.50800000000015,1
c1ccc2c(c1)nnn2Cc1nc2ccccc2n1CCN1CCCC1,ChEMBL,600.0,346.4380000000003,1
C[N+](C)(C)CCn1c(Cn2nnc3ccccc32)nc2ccccc21.[I-],ChEMBL,870.0,462.33900000000006,1
c1ccc2c(c1)nnn2Cc1nc2ccccc2n1CCN1CCCCCC1,ChEMBL,2800.0,374.4920000000004,1
CC(C)CCn1c(Cn2nc3ccccc3n2)nc2ccccc21,ChEMBL,440.0,319.41200000000003,1
CCN(CC)CCn1c(Cn2nnc3ccccc32)nc2ccccc21,ChEMBL,470.0,348.4540000000001,1
CN(C)CCn1c(Cn2nc3ccccc3n2)nc2ccccc21,ChEMBL,180.0,320.4000000000001,1
NC(=O)CCN(CCC(N)=O)S(=O)(=O)c1cccc(Nc2nc(Nc3cccc(S(=O)(=O)N(CCC(N)=O)CCC(N)=O)c3)nc(Nc3ccc(-c4ccc(Nc5nc(Nc6cccc(S(=O)(=O)N(CCC(N)=O)CCC(N)=O)c6)nc(Nc6cccc(S(=O)(=O)N(CCC(N)=O)CCC(N)=O)c6)n5)cc4S(=O)(=O)[O-])c(S(=O)(=O)[O-])c3)n2)c1.[Na+].[Na+],ChEMBL,50.0,1795.8620000000008,1
NC(=O)CCN(CCC(N)=O)S(=O)(=O)c1cccc(Nc2nc(Nc3cccc(S(=O)(=O)N(CCC(N)=O)CCC(N)=O)c3)nc(Nc3ccc(/C=C/c4ccc(Nc5nc(Nc6cccc(S(=O)(=O)N(CCC(N)=O)CCC(N)=O)c6)nc(Nc6cccc(S(=O)(=O)N(CCC(N)=O)CCC(N)=O)c6)n5)cc4S(=O)(=O)[O-])c(S(=O)(=O)[O-])c3)n2)c1.[Na+].[Na+],ChEMBL,150.0,1821.9000000000008,1
C[C@H](/N=C(\S)Nc1ccc(NC(=O)c2csnn2)nc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,ChEMBL,5000.0,520.4840000000002,1
O=C(Nc1ccc(N/C(S)=N/Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1)c1csnn1,ChEMBL,5000.0,505.4690000000001,1
C[C@H](/N=C(\S)Nc1ccc(NC(=O)c2cscn2)nc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,ChEMBL,5000.0,519.4960000000001,1
C[C@@H](/N=C(\S)Nc1ccc(NC(=O)c2cscn2)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,ChEMBL,2000.0,518.5080000000002,1
C[C@@H](/N=C(\S)Nc1ccc(NC(=O)c2cscn2)nc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,ChEMBL,1000.0,519.4960000000001,1
C[C@H](/N=C(\S)Nc1ccc(NC(=O)c2cscn2)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,ChEMBL,5000.0,518.5080000000002,1
O=C(Nc1ccc(N/C(S)=N/Cc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cn1)c1csnn1,ChEMBL,5000.0,506.4570000000001,1
CC(C)(/N=C(\S)Nc1ccc(NC(=O)c2csnn2)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,ChEMBL,5000.0,533.5230000000001,1
CCCC(/N=C(\S)Nc1ccc(NC(=O)c2csnn2)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,ChEMBL,5000.0,547.5500000000002,1
C[C@H](/N=C(\S)Nc1ccc(NC(=O)c2csnn2)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,ChEMBL,5000.0,519.4960000000001,1
O=C(Nc1ccc(/N=C(\S)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1)c1csnn1,ChEMBL,5000.0,491.44200000000006,1
CC(/N=C(\S)Nc1ccc(NC(=O)c2csnn2)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,ChEMBL,5000.0,519.4960000000001,1
O=C(Nc1ccc(/N=C(\S)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1)c1cscn1,ChEMBL,5000.0,490.45400000000006,1
CCC(/N=C(\S)Nc1ccc(NC(=O)c2csnn2)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,ChEMBL,5000.0,533.5230000000001,1
O=C(Nc1ccc(N/C(S)=N/C(c2ccccc2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1)c1csnn1,ChEMBL,5000.0,581.567,1
CCC(/N=C(\S)Nc1ccc(NC(=O)c2cscn2)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,ChEMBL,4100.0,532.5350000000001,1
CC(C)CCn1c(Cn2c(=O)n(CC(=O)O)c3ccccc32)nc2ccccc21,ChEMBL,163.0,392.4590000000001,1
CC(C)CCn1c(Cn2c(=O)n(CCCN(C)C)c3ccccc32)nc2ccccc21,ChEMBL,292.0,419.5730000000001,1
CC(C)CCn1c(Cn2c(=O)n(CCN(C)C)c3ccccc32)nc2ccccc21,ChEMBL,400.0,405.5460000000001,1
CN(C)CCn1c(Cn2c(=O)n(Cc3ccccc3C(=O)O)c3ccccc32)nc2ccccc21,ChEMBL,127.0,469.5450000000002,1
COC(=O)c1ccccc1Cn1c(=O)n(Cc2nc3ccccc3n2CCN(C)C)c2ccccc21,ChEMBL,19.0,483.5720000000002,1
CN(C)CCn1c(Cn2c(=O)n(Cc3ccc(C(=O)N(C)C)cc3)c3ccccc32)nc2ccccc21,ChEMBL,184.0,496.6150000000002,1
CN(C)CCn1c(Cn2c(=O)n(Cc3ccc(C(=O)O)cc3)c3ccccc32)nc2ccccc21,ChEMBL,196.0,469.5450000000002,1
COC(=O)c1ccc(Cn2c(=O)n(Cc3nc4ccccc4n3CCN(C)C)c3ccccc32)cc1,ChEMBL,23.0,483.5720000000002,1
C=C(C)n1c(=O)n(Cc2nc3ccccc3n2CCCN(C)C)c2ccccc21,ChEMBL,75.0,389.50300000000016,1
CN(C)CCCn1c(Cn2c(O)nc3ccccc32)nc2ccccc21,ChEMBL,1665.0,349.4380000000001,1
CC(C)n1c(=O)n(Cc2nc3ccccc3n2CCN(C)C)c2ccccc21,ChEMBL,14.0,377.4920000000001,1
C=C(C)n1c(=O)n(Cc2nc3ccccc3n2CCN(C)C)c2ccccc21,ChEMBL,11.0,375.4760000000001,1
CN(C)CCn1c(Cn2c(O)nc3ccccc32)nc2ccccc21,ChEMBL,62.0,335.4110000000001,1
O=C(O)CN(CC(=O)O)C(=O)c1ccc(Cn2c(=O)n(Cc3nc4ccccc4n3CCCCO)c3ccccc32)cc1,ChEMBL,57.0,585.6170000000004,1
O=C(O)c1ccc(Cn2c(=O)n(Cc3nc4ccccc4n3CCCCO)c3ccccc32)cc1,ChEMBL,4.0,470.5290000000003,1
O=C(O)c1ccc(Cn2c(=O)n(Cc3nc4ccccc4n3CCCO)c3ccccc32)cc1,ChEMBL,49.0,456.5020000000002,1
O=C(O)Cn1c(=O)n(Cc2nc3ccccc3n2CCCO)c2ccccc21,ChEMBL,1930.0,380.4040000000002,1
O=c1n(Cc2ccc(P(=O)(O)O)cc2)c2ccccc2n1Cc1nc2ccccc2[nH]1,ChEMBL,368.0,434.39200000000017,1
O=c1n(Cc2nc3ccccc3[nH]2)c2ccccc2n1Cc1ccccc1S(=O)(=O)O,ChEMBL,13.0,434.4770000000002,1
O=C(O)c1cccc(Cn2c(=O)n(Cc3nc4ccccc4[nH]3)c3ccccc32)c1,ChEMBL,7.0,398.422,1
O=C(O)c1ccc(Cn2c(=O)n(Cc3nc4ccccc4[nH]3)c3ccccc32)cc1,ChEMBL,14.0,398.4220000000001,1
O=C(O)Cn1c(=O)n(Cc2nc3ccccc3[nH]2)c2ccccc21,ChEMBL,155.0,322.32400000000007,1
Oc1nc2ccccc2n1Cc1nc2ccccc2n1CCn1cnnn1,ChEMBL,1196.0,360.3810000000001,1
CC(C)n1c(=O)n(Cc2nc3ccccc3n2CCc2noc(O)n2)c2ccccc21,ChEMBL,21.0,418.45700000000016,1
O=c1n(Cc2ccc(O)cc2)c2ccccc2n1Cc1nc2ccccc2[nH]1,ChEMBL,63.0,370.412,1
COc1ccc(Cn2c(=O)n(Cc3nc4ccccc4[nH]3)c3ccccc32)cc1,ChEMBL,333.0,384.4390000000001,1
O=c1n(Cc2ccccc2)c2ccccc2n1Cc1nc2ccccc2[nH]1,ChEMBL,114.0,354.413,1
Cn1c(=O)n(Cc2nc3ccccc3[nH]2)c2ccccc21,ChEMBL,593.0,278.31500000000005,1
Oc1nc2ccccc2n1Cc1nc2ccccc2[nH]1,ChEMBL,1007.0,264.28799999999995,1
CC(C)n1c(=O)n(Cc2nc3ccccc3n2CCc2nnn[nH]2)c2ccccc21,ChEMBL,15.0,402.4620000000001,1
C=C(C)n1c(=O)n(Cc2nc3ccccc3n2CCCc2nnn[nH]2)c2ccccc21,ChEMBL,14.0,414.4730000000001,1
C=C(C)n1c(=O)n(Cc2nc3ccccc3n2CCc2nnn[nH]2)c2ccccc21,ChEMBL,8.0,400.4460000000001,1
C=C(C)n1c(=O)n(Cc2nc3ccccc3n2Cc2nn[nH]n2)c2ccccc21,ChEMBL,8437.0,386.419,1
CC(C)CCn1c(Cn2c(=O)n(Cc3ccc(Cn4c(=O)ccn(CC(=O)N[C@@H](CC(=O)O)C(=O)O)c4=O)cc3)c3ccccc32)nc2ccccc21,ChEMBL,8.0,721.7710000000002,1
CC(C)CCn1c(Cn2c(=O)n(Cc3ccc(Cn4c(=O)ccn(CC(=O)O)c4=O)cc3)c3ccccc32)nc2ccccc21,ChEMBL,3.0,606.6830000000001,1
CC(C)CCn1c(Cn2c(=O)n(Cc3ccccc3C(=O)N[C@@H](CC(=O)O)C(=O)O)c3ccccc32)nc2ccccc21,ChEMBL,6.0,583.6450000000003,1
CC(C)CCn1c(Cn2c(=O)n(Cc3ccc(C(=O)N[C@@H](CP(=O)(O)O)C(=O)O)cc3)c3ccccc32)nc2ccccc21,ChEMBL,34.0,619.6150000000001,1
CC(C)CCn1c(Cn2c(=O)n(Cc3ccc(C(=O)N[C@@H](CC(=O)O)C(=O)O)cc3)c3ccccc32)nc2ccccc21,ChEMBL,5.0,583.6450000000002,1
CC(C)CCn1c(Cn2c(=O)n(Cc3ccccc3S(=O)(=O)O)c3ccccc32)nc2ccccc21,ChEMBL,7.0,504.61200000000025,1
CC(C)CCn1c(Cn2c(=O)n(Cc3ccc(CP(=O)(O)O)cc3)c3ccccc32)nc2ccccc21,ChEMBL,51.0,518.5540000000002,1
CCOP(=O)(O)c1ccc(Cn2c(=O)n(Cc3nc4ccccc4n3CCC(C)C)c3ccccc32)cc1,ChEMBL,48.0,532.5810000000002,1
CC(C)CCn1c(Cn2c(=O)n(Cc3ccc(P(=O)(O)O)cc3)c3ccccc32)nc2ccccc21,ChEMBL,27.0,504.5270000000002,1
CC(C)CCn1c(Cn2c(=O)n(Cc3cc(C(=O)O)cc(C(=O)O)c3)c3ccccc32)nc2ccccc21,ChEMBL,656.0,512.5660000000001,1
CC(C)CCn1c(Cn2c(=O)n(Cc3ccccc3C(=O)O)c3ccccc32)nc2ccccc21,ChEMBL,11.0,468.5570000000002,1
CC(C)CCn1c(Cn2c(=O)n(Cc3cccc(C(=O)O)c3)c3ccccc32)nc2ccccc21,ChEMBL,10.0,468.5570000000002,1
CC(C)CCn1c(Cn2c(=O)n(Cc3ccc(C(=O)O)cc3)c3ccccc32)nc2ccccc21,ChEMBL,11.0,468.5570000000002,1
CC(C)CCn1c(Cn2c(=O)n(CCCCS(=O)(=O)O)c3ccccc32)nc2ccccc21,ChEMBL,52.0,470.59500000000014,1
CC(C)CCn1c(Cn2c(=O)n(CCCS(=O)(=O)O)c3ccccc32)nc2ccccc21,ChEMBL,38.0,456.56800000000015,1
CC(C)CCn1c(Cn2c(=O)n(CCCCCc3nnn[nH]3)c3ccccc32)nc2ccccc21,ChEMBL,13.0,472.5970000000001,1
CC(C)CCn1c(Cn2c(=O)n(CCCCc3nnn[nH]3)c3ccccc32)nc2ccccc21,ChEMBL,15.0,458.5700000000001,1
CC(C)CCn1c(Cn2c(=O)n(CCCc3nnn[nH]3)c3ccccc32)nc2ccccc21,ChEMBL,235.0,444.5430000000001,1
CC(C)CCn1c(Cn2c(=O)n(Cc3nn[nH]n3)c3ccccc32)nc2ccccc21,ChEMBL,500.0,416.48900000000015,1
CC(C)CCn1c(Cn2c(=O)n(CC(=O)NS(=O)(=O)c3ccccc3)c3ccccc32)nc2ccccc21,ChEMBL,1214.0,531.6380000000003,1
CC(C)CCn1c(Cn2c(=O)n(CC(=O)NS(C)(=O)=O)c3ccccc32)nc2ccccc21,ChEMBL,613.0,469.5670000000002,1
CC(C)CCn1c(Cn2c(=O)n(CCCCCC(=O)O)c3ccccc32)nc2ccccc21,ChEMBL,15.0,448.5670000000001,1
CC(C)CCn1c(Cn2c(=O)n(CCCCC(=O)O)c3ccccc32)nc2ccccc21,ChEMBL,8.0,434.5400000000001,1
CC(C)CCn1c(Cn2c(=O)n(CCCC(=O)O)c3ccccc32)nc2ccccc21,ChEMBL,75.0,420.5130000000001,1
CC(C)CCn1c(Cn2c(=O)n(CCC(=O)O)c3ccccc32)nc2ccccc21,ChEMBL,15.0,406.4860000000001,1
CC(=O)NC1N=C(c2ccccc2)c2ccccc2NC1=O,ChEMBL,3500.0,293.326,1
COc1ccccc1C(=O)NC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,ChEMBL,6100.0,419.86800000000017,1
